46.98	-18.58
46.99	-18.58
47.00	-18.58
47.01	-18.58
47.01	-18.58
47.02	-18.58
47.03	-18.58
47.04	-18.58
47.04	-18.58
47.05	-18.58
47.06	-18.58
47.07	-18.58
47.07	-18.58
47.08	-18.58
47.09	-18.58
47.10	-18.58
47.11	-18.58
47.11	-18.58
47.12	-18.58
47.13	-18.58
47.14	-18.58
47.14	-18.58
47.15	-18.58
47.16	-18.58
47.17	-18.58
47.17	-18.58
47.18	-18.58
47.19	-18.58
47.20	-18.58
47.21	-18.58
47.21	-18.58
47.22	-18.58
47.23	-18.58
47.23	-18.58
47.24	-18.58
47.25	-18.58
47.26	-18.58
47.27	-18.58
47.27	-18.58
47.28	-18.58
47.29	-18.58
47.30	-18.58
47.31	-18.58
47.31	-18.58
47.32	-18.58
47.33	-18.58
47.33	-18.58
47.34	-18.58
47.35	-18.58
47.36	-18.58
47.37	-18.58
47.37	-18.58
47.38	-18.58
47.39	-18.58
47.40	-18.58
47.40	-18.58
47.41	-18.58
47.42	-18.58
47.43	-18.58
47.43	-18.58
47.44	-18.58
47.45	-18.58
47.46	-18.58
47.47	-18.58
47.47	-18.58
47.48	-18.58
47.49	-18.58
47.49	-18.58
47.50	-18.58
47.51	-18.58
47.52	-18.58
47.53	-18.58
47.53	-18.58
47.54	-18.58
47.55	-18.58
47.56	-18.58
47.57	-18.58
47.57	-18.58
47.58	-18.58
47.59	-18.58
47.59	-18.58
47.60	-18.58
47.61	-18.58
47.62	-18.58
47.63	-18.58
47.63	-18.58
47.64	-18.58
47.65	-18.58
47.66	-18.58
47.67	-18.58
47.67	-18.58
47.68	-18.57
47.69	-18.57
47.69	-18.57
47.70	-18.57
47.71	-18.57
47.72	-18.57
47.73	-18.57
47.73	-18.57
47.74	-18.57
47.75	-18.57
47.75	-18.57
47.77	-18.57
47.77	-18.57
47.78	-18.58
47.79	-18.58
47.79	-18.58
47.80	-18.57
47.81	-18.57
47.82	-18.58
47.83	-18.58
